# mode=PY timeScale=20 fixedDeltaTime=0.01999999 obsLen=89
# sensors=RayPerceptionSensor:0-64:65|VectorSensor_size24:65-88:24
# agents=0=Arena_0/Agent_Blue_0|1=Arena_0/Agent_Blue_1|2=Arena_0/Agent_Blue_2
mode,agentIdx,acadStep,agentStep,episodes,c0,c1,c2,d0,o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88
PY,1,20,20,0,-0.05915859,0.05422214,-0.2848234,0,0,0,1,0,0.4778059,0,0,1,0,0.714054,0,0,1,0,0.4799533,0,0,1,0,0.5183579,0,0,0,1,1,0,0,1,0,0.3936083,0,0,0,1,1,0,0,1,0,0.5564603,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9839713,0,0,0,1,1,0,0,0,1,1,0.727069,0.4543255,-0.9952824,0.09702218,-0.03371846,-0.03174061,1,1,0,0,0,0,1,0,0,1,-0.09621889,0.9953604,0.4239472,-0.09539365,0.9954398,0.7991748,0,0.4967777
PY,2,20,20,0,-0.1002828,0.09024785,-0.5883795,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8845295,0,0,0,1,1,0,0,1,0,0.8419581,0,0,0,1,1,0,0,1,0,0.9239713,0,0,0,1,1,0,0,1,0,0.7961825,0,0,0,0,0.8656786,0,0,0,1,1,0,0,0,0,0.4091419,0.908981,0.5449309,-0.8217229,-0.5698875,-0.008131296,-0.05878974,1,1,0,0,0.04333332,0,0,0,1,1,0.3986415,0.917107,0.7207832,0.4649286,0.8853483,1,0,0.4967777
PY,0,25,25,0,-0.2800913,0.2702052,0.7216706,0,0,0,1,0,0.6683189,0,0,1,0,0.2698486,0,0,1,0,0.6308442,0,0,0,1,1,0,0,1,0,0.2615432,0,0,0,1,1,0,0,1,0,0.5255803,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.6687262,0,0,0,1,1,0,0,0,1,1,0.4436046,0.2851525,0.1497339,0.9887263,-0.1946079,0.2574199,1,1,0,0,0.05999997,0,1,0,0,1,-0.08569462,0.9963215,0.2640627,-0.9083833,0.4181385,0.4581392,0,0.8063152
PY,1,25,25,0,-0.04334108,0.03417246,0.1853497,0,0,0,1,0,0.4751611,0,0,1,0,0.4892162,0,0,1,0,0.4874349,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.4268602,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8465301,0,0,1,0,0.7073147,0,0,1,0,0.9562582,0,0,0,1,1,0,0,0,1,1,0.726885,0.4541415,-0.9999705,0.007695198,-0.03019104,-0.03243501,1,1,0,0,0,0,1,0,0,1,-0.006212079,0.9999808,0.4236614,-0.00284783,0.9999959,0.7982779,0,0.4960741
PY,2,25,25,0,-0.1155111,0.1016736,-0.8358478,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9243411,0,0,0,1,1,0,0,1,0,0.8795257,0,0,0,1,1,0,0,1,0,0.6823592,0,0,0,1,1,0,0,1,0,0.7688965,0,0,0,0,0.4572328,0,0,1,0,0.8215683,0,0,0,0,0.2961654,0.908963,0.5437632,-0.7029828,-0.711207,0.005508273,-0.09415521,1,1,0,0,0.05999997,0,0,0,1,1,0.5624496,0.8268317,0.7204036,0.622574,0.7825611,1,0,0.4960741
PY,0,30,30,0,-0.2431286,0.2470713,1,0,0,0,1,0,0.2878977,0,0,0,1,1,0,0,1,0,0.7370239,0,0,0,1,1,0,0,1,0,0.5211434,1,0,0,0,0.709877,0,0,1,0,0.2510887,0,0,0,1,1,0,0,1,0,0.515278,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.6592177,0.4409139,0.2898844,0.3681501,0.9297664,-0.1364724,0.3004664,1,1,0,0,0.07666662,0,1,0,0,1,-0.2901858,0.9569704,0.2570287,-0.9794108,0.2018776,0.4525281,0,0.8061408
PY,1,30,30,0,-0.05938574,0.05418791,-0.2859305,0,0,0,1,0,0.4761772,0,0,1,0,0.7064093,0,0,1,0,0.4818289,0,0,1,0,0.5464705,0,0,0,1,1,0,0,1,0,0.4002183,0,0,0,1,1,0,0,1,0,0.5679197,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9831233,0,0,0,1,1,0,0,0,1,1,0.7268831,0.4541394,-0.9978278,0.06587696,-0.01373051,-0.0152325,1,1,0,0,0,0,1,0,0,1,-0.06438901,0.9979249,0.4236584,-0.05687018,0.9983816,0.7979041,0,0.4952692
PY,2,30,30,0,-0.1373242,0.12221,0.07650896,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.9467198,0,0,1,0,0.8831167,0,0,0,0,0.4241123,0,0,1,0,0.7567322,0,0,0,0,0.2830983,0,0,1,0,0.93048,0,0,0,0,0.221416,0.9092951,0.5423251,-0.4942689,-0.8693092,0.03631295,-0.105317,1,1,0,0,0.07666662,0,0,0,1,1,0.7598742,0.6500703,0.7204832,0.807358,0.5900621,1,0,0.4952692
PY,0,35,35,0,-0.2035246,0.2108376,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2542974,0,0,0,1,1,0,0,1,0,0.4833145,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2347462,0,0,0,1,1,0,0,1,0,0.4806753,0,0,0,1,1,0,0,0,1,1,0.439915,0.2945288,0.637445,0.7704958,-0.02515978,0.2912292,1,1,0,0,0.09333327,0,1,0,0,1,-0.5646428,0.8253354,0.2499658,-0.9935132,-0.1137166,0.450416,0,0.8020703
PY,1,35,35,0,-0.03074025,0.02201916,0.5385499,0,0,0,1,0,0.4748848,0,0,1,0,0.4852902,0,0,0,1,1,0,0,1,0,0.7463181,1,0,0,0,0.7011453,0,0,1,0,0.4442039,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8268092,0,0,1,0,0.6574321,0,0,1,0,0.9431381,0,0,0,1,1,0,0,0,1,1,0.7267042,0.453948,-0.9997144,-0.02390063,-0.02914249,-0.03351269,1,1,0,0,0,0,1,0,0,1,0.02609516,0.9996595,0.4233806,0.03889506,0.9992434,0.7981561,0,0.4952205
PY,2,35,35,0,-0.1815158,0.1745005,-0.1639068,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9283742,0,0,0,1,1,0,0,1,0,0.8821009,0,0,0,0,0.4452768,0,0,1,0,0.6838995,0,0,0,0,0.2902001,0,0,0,1,1,0,0,0,0,0.2242036,0.9099037,0.5404392,-0.5150188,-0.8571789,0.04141265,-0.1326818,1,1,0,0,0.09333327,0,0,0,1,1,0.7468607,0.6649806,0.7208632,0.7971072,0.6038377,1,0,0.4952205
PY,0,40,40,0,-0.1607938,0.1603322,0.795056,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2560191,0,0,0,1,1,0,0,1,0,0.3546309,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2840949,0,0,0,1,1,0,0,1,0,0.2380724,0.4403459,0.2983632,0.8443426,0.5358038,0.05720643,0.2362345,1,1,0,0,0.1099999,0,1,0,0,1,-0.7923613,0.6100522,0.2439646,-0.9076214,-0.4197899,0.4519798,0,0.7966326
PY,1,40,40,0,-0.06597301,0.0583201,-0.227907,0,0,0,1,0,0.4798042,0,0,1,0,0.726001,0,0,1,0,0.4765691,0,0,1,0,0.4835909,0,0,0,1,1,0,0,1,0,0.4132106,0,0,0,1,1,0,0,1,0,0.5787382,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9045542,0,0,0,1,1,0,0,1,0,0.9214083,0.7267042,0.453948,-0.9894644,0.1447768,-0.003076943,-0.003193144,1,1,0,0,0,0,1,0,0,1,-0.1426044,0.9897798,0.4233806,-0.1243189,0.9922425,0.8001661,0,0.4941591
PY,2,40,40,0,-0.1423141,0.1371862,-0.645228,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.4291556,0,0,0,0,0.807396,0,0,1,0,0.8898472,0,0,0,0,0.3914593,0,0,0,1,1,0,0,0,0,0.2678936,0,0,1,0,0.9253303,0,0,0,0,0.2123202,0.9108181,0.5374292,-0.4702172,-0.8825511,0.06301339,-0.1930122,1,1,0,0,0.1099999,0,0,0,1,1,0.7842991,0.6203834,0.7214096,0.8319393,0.5548672,1,0,0.4941591
PY,0,45,45,0,-0.1230668,0.1146998,0.0438957,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2520826,0,0,0,1,1,0,0,1,0,0.3297702,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.6098385,0,0,1,0,0.3335842,0.4413318,0.3009174,0.950584,0.3104678,0.0816742,0.1614757,1,1,0,0,0.1266666,0,1,0,0,1,-0.9204819,0.3907855,0.2398716,-0.7714818,-0.6362515,0.454435,0,0.7906346
PY,1,45,45,0,-0.05880837,0.05367597,-0.2931132,0,0,0,1,0,0.4754161,0,0,1,0,0.7070565,0,0,1,0,0.4801847,0,0,1,0,0.541301,0,0,0,1,1,0,0,1,0,0.3984407,0,0,0,1,1,0,0,1,0,0.5662791,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.9859535,0,0,0,1,1,0,0,0,1,1,0.7264209,0.4536869,-0.9972863,0.07362169,-0.03663638,-0.03575358,1,1,0,0,0,0,1,0,0,1,-0.07047214,0.9975138,0.4229411,-0.04943509,0.9987774,0.8020595,0,0.4951357
PY,2,45,45,0,-0.1642215,0.149703,-0.009476534,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.9295403,0,0,0,1,1,0,0,0,0,0.413017,1,0,0,0,0.4476355,0,0,0,0,0.2750209,0,0,1,0,0.8883075,0,0,0,0,0.2148253,0,0,1,0,0.8755103,0,0,0,0,0.1844048,0.9117616,0.5354033,-0.2829155,-0.9591448,0.07567085,-0.133114,1,1,0,0,0.1266666,0,0,0,1,1,0.8952205,0.4456236,0.7222983,0.9286318,0.3710026,1,0,0.4951357
PY,0,50,50,0,-0.1199431,0.1116094,0.02516196,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2501925,0,0,0,1,1,0,0,1,0,0.3118724,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.6093214,0,0,1,0,0.3823509,0.4420752,0.3024849,0.9547748,0.2973299,0.05436353,0.1130231,1,1,0,0,0.1433332,0,1,0,0,1,-0.9272782,0.374373,0.2373449,-0.7591973,-0.6508605,0.4570687,0,0.7866499
PY,1,50,50,0,-0.03109986,0.02239343,0.5439103,0,0,0,1,0,0.4738293,0,0,1,0,0.4848405,0,0,0,1,1,0,0,1,0,0.7472439,1,0,0,0,0.682967,0,0,1,0,0.4427172,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.8287042,0,0,1,0,0.6629863,0,0,1,0,0.9442012,0,0,0,1,1,0,0,0,1,1,0.7262496,0.4535061,-0.9998308,-0.01839471,-0.02886453,-0.03281703,1,1,0,0,0,0,1,0,0,1,0.02221925,0.9997531,0.4226756,0.04494411,0.9989896,0.804282,0,0.496577
PY,2,50,50,0,-0.1875058,0.173385,0.3515126,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.8978071,0,0,0,1,1,0,0,0,0,0.4027473,1,0,0,0,0.4335321,0,0,0,0,0.2689465,0,0,1,0,0.8916621,0,0,0,0,0.2103922,0,0,0,1,1,0,0,0,0,0.1807793,0.9131287,0.5331563,-0.2800588,-0.9599829,0.0909571,-0.1491039,1,1,0,0,0.1433332,0,0,0,1,1,0.8988639,0.4382281,0.7237937,0.9315407,0.3636369,1,0,0.496577
PY,0,55,55,0,-0.1904157,0.1819972,-0.2545452,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.6970755,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.2475508,0,0,0,1,1,0,0,1,0,0.300314,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.6105482,0,0,1,0,0.4209199,0.442801,0.3039788,0.9570953,0.2897733,0.05337649,0.1089818,1,1,0,0,0.1599999,0,1,0,0,1,-0.9316627,0.3633245,0.2349382,-0.7498081,-0.6616552,0.4625427,0,0.7833729
